candidato,url,usuario,fecha,texto
Ivan_Saquicela,https://x.com/EcuavisaInforma/status/1881180922298749032,@EcuavisaInforma,2025-01-20T03:24:17.000Z," #EnVivo  #DebatePresidencial | Iván Saquicela menciona que va ha combinar la administración pública y privada.

 Sigue el minuto a minuto del evento previo a las  #Elecciones2025  
bit.ly/4h0iagt"
Ivan_Saquicela,https://x.com/NigliaMaria/status/1983018885923197247,@SebaZ3,2025-10-28T02:44:57.000Z,"Jamás van a arreglar la microeconomía porque no creen que exista. La economía real de al menos el 30% que los votó y de otro 60% que no.

Lo que resta es aceleración, agarrarse al asiento y divertirse."
Ivan_Saquicela,https://x.com/LaNacion_Ec/status/1823694738848993779,@LaNacion_Ec,2024-08-14T12:14:43.000Z,Elecciones 2025: PSE ratifica a Pedro Granja y Democracia Sí designa a Iván Saquicela como candidatos a la Presidencia - El Partido Socialista Ecuatoriano ra...
Ivan_Saquicela,https://x.com/PrezMariaa/status/1888618978286633251/photo/1,@PrezMariaa,2025-02-09T16:00:27.000Z,"Iván Saquicela votó en Cuenca y habló de ‘sorpresa’ en las elecciones 2025 
elcomercio.com/elecciones/iva
…"
Ivan_Saquicela,https://x.com/ElPortalEcu/status/1823449618643886320/photo/1,@ElPortalEcu,2024-08-13T20:00:41.000Z," ¡LOS DELINCUENTES A LA ROCA NO A LAS PAPELETAS ELECTORALES!

 Las horas están contadas para  el candidato a la presidencia del Ecuador, Iván Saquicela, según información el abogado Michael Hernández habría entregado dinero al expresidente de la Corte Nacional de Justicia a cambio de favores judiciales."
Ivan_Saquicela,https://x.com/machalamovil/status/1820876517259305348,@machalamovil,2024-08-06T17:36:06.000Z,"Con seis meses de anticipación, Ivan Saquicela, presentó su renuncia como juez de la Corte Nacional de Justicia. En su carta, informó que el motivo es su participación como candidato en las elecciones presidenciales y legislativas 2025.

Más información aquí: 
wp.me/p8ZMOh-h8g"
Ivan_Saquicela,https://x.com/GaZElectoral/status/1983554293492769178,@GaZElectoral,2025-10-29T15:19:30.000Z,"Análisis. Elecciones 2025: datos, números, ganadores, perdedores y mucha abstención"
Ivan_Saquicela,https://x.com/catomedia_ucsg/status/1823406798948459002,@catomedia_ucsg,2024-08-13T17:10:32.000Z,"#AHORA: Iván Saquicela, expresidente de la Corte Nacional de Justicia, será candidato presidencial con el apoyo del movimiento político Democracia Sí, para las elecciones del 2025.
Su precandidtura fue anunciada por Gustavo Larrea, líder del movimiento Democracia Sí, este martes 13 de agosto.
Su compañera de fórmula será Martha Rizzo, actual presidenta de la Casa de la Cultura de Guayas."
Ivan_Saquicela,https://x.com/ElPortalEcu/status/1832621204051566732,@ElPortalEcu,2024-09-08T03:25:18.000Z," Informan posible salida del país del candidato a la presidencia Iván Saquicela.

Noticia en desarrollo."
Ivan_Saquicela,https://x.com/jpachecoe/status/1820879485790777506,@jpachecoe,2024-08-06T16:45:18.000Z,"Iván Saquicela renunció de manera irrevocable a su cargo de juez de la Corte Nacional de Justicia, en su carta de renuncia, asegura que el motivo de su renuncia es para participar en las elecciones generales de febrero de 2025."
Ivan_Saquicela,https://x.com/Expresoec/status/1826010028089942403,@Expresoec,2024-08-20T21:34:50.000Z,"Iván Saquicela y Martha Rizzo asistieron este 20 de agosto de 2024 al CNE, donde firmaron las actas de aceptación de sus postulaciones. Conforman el binomio presidencial de Democracia Sí para las elecciones de 2025.

Más información: 
bit.ly/3yPDSmv"
Ivan_Saquicela,https://x.com/intihuasi3/status/1931750763518103722/photo/1,@intihuasi3,2025-06-07T16:28:09.000Z,"MARIA EUGENIA TALERICO  
CANDIDATA  

 JAVIER IGUACEL 
CANDIDATO 
      "
